2013/8/30,18,0,91
2013/8/31,3.5,0.8,89
2013/9/1,1,0.9,83
2013/9/2,0,0.5,85
2013/9/3,4.5,0,90
2013/9/4,43,0.6,95
2013/9/5,5,9,62
2013/9/6,4,4.3,79
2013/9/7,0,0.5,83
2013/9/8,0,6.3,78
2013/9/9,0,10,74
2013/9/10,0,8,71
2013/9/11,0,10,76
2013/9/12,0,4.8,77
2013/9/13,0,8.3,60
2013/9/14,15,3.1,84
2013/9/15,29,0,87
2013/9/16,32,0,88
2013/9/17,0,10.1,49
2013/9/18,0,8.3,53
2013/9/19,0,7.7,50
2013/9/20,0,2.1,64
2013/9/21,0,4.8,65
2013/9/22,0,7.7,58
2013/9/23,0,8.2,73
2013/9/24,4.5,1.7,76
2013/9/25,26,0,88
2013/9/26,0,7.1,61
2013/9/27,0,9,59
2013/9/28,0,10.3,63
2013/9/29,0,6.3,71
2013/9/30,9,0,91
2013/10/1,3,0,93
2013/10/2,0,8.8,79
2013/10/3,0,5.9,51
2013/10/4,0,6.9,55
2013/10/5,0,3.9,68
2013/10/6,0,4.8,80
2013/10/7,0,8,79
2013/10/8,0,0.3,65
2013/10/9,1,0,78
2013/10/10,0,10.4,72
2013/10/11,21,0,90
2013/10/12,0.5,6.9,59
2013/10/13,3,3.7,61
2013/10/14,0,6.9,60
2013/10/15,1,0,66
2013/10/16,35,0,72
2013/10/17,10,3.7,65
2013/10/18,0,9.8,61
2013/10/19,0,10,70
2013/10/20,1.5,0.1,77
2013/10/21,3.5,3.8,74
2013/10/22,0,4.6,64
2013/10/23,0,5.2,76
2013/10/24,0,1,76
2013/10/25,17.5,0,90
2013/10/26,3.5,0.8,69
2013/10/27,27,1.2,74
2013/10/28,3.5,3.6,79
2013/10/29,0,3.4,72
2013/10/30,0,3.7,78
2013/10/31,0,7.8,61
2013/11/1,0,4.1,48
2013/11/2,0,4.3,60
2013/11/3,0,1.8,73
2013/11/4,1.5,6.8,71
2013/11/5,0.5,8.2,68
2013/11/6,0.5,0.8,65
2013/11/7,5.5,2.1,76
2013/11/8,41.5,0.1,82
2013/11/9,0,8,57
2013/11/10,15,0.2,64
2013/11/11,4,2.8,65
2013/11/12,0,5.4,62
2013/11/13,0.5,3.3,69
2013/11/14,0,3.2,59
2013/11/15,0.5,0,75
2013/11/16,0,6.8,69
2013/11/17,0,8.7,71
2013/11/18,0.5,0.9,80
2013/11/19,0,0.3,83
2013/11/20,0.5,4.5,62
2013/11/21,3,5.5,66
2013/11/22,0.5,2.5,70
2013/11/23,0.5,0.9,70
2013/11/24,0,2.6,65
2013/11/25,18.5,0.2,75
2013/11/26,2,2.6,52
2013/11/27,1,3.8,65
2013/11/28,17,0.7,79
2013/11/29,0.5,7.3,64
2013/11/30,2.5,0.3,69
2013/12/1,0,1.2,62
2013/12/2,1.5,3.3,80
2013/12/3,1,0.9,76
2013/12/4,0.5,1.1,67
2013/12/5,0,4.5,63
2013/12/6,0,1.1,75
2013/12/7,1,6.5,61
2013/12/8,1,4.3,64
2013/12/9,0.5,3,59
2013/12/10,7,0,90
2013/12/11,8,3.7,64
2013/12/12,1,2.4,66
2013/12/13,16,0,81
2013/12/14,0.5,7.3,52
2013/12/15,8.5,0.9,78
2013/12/16,4.5,0.9,75
2013/12/17,0,5.1,66
2013/12/18,0,2,70
2013/12/19,0,5.4,67
2013/12/20,0,2.7,61
2013/12/21,0,1.1,55
2013/12/22,27,0.1,77
2013/12/23,4,0,83
2013/12/24,0,5.9,69
2013/12/25,4.5,0.8,74
2013/12/26,3,3.2,67
2013/12/27,3.5,1.5,76
2013/12/28,13.5,0,76
2013/12/29,6,3,72
2013/12/30,11.5,0,88
2013/12/31,0,3.3,71
